name,article,lang,lemma
Planet,https://en.wikipedia.org/wiki/Planet,en,Pianeta
Planet,https://en.wikipedia.org/wiki/Planet,en,Pianeta
Binary number,https://en.wikipedia.org/wiki/Binary_number,en,Sistema numerico binario
Algebra,https://en.wikipedia.org/wiki/Algebra,en,Algebra
Algebra,https://en.wikipedia.org/wiki/Algebra,en,Algebra
Light,https://en.wikipedia.org/wiki/Light,en,Luce
Light,https://en.wikipedia.org/wiki/Light,en,Luce
Light,https://en.wikipedia.org/wiki/Light,en,Luce
Capacitor,https://en.wikipedia.org/wiki/Capacitor,en,Condensatore (elettrotecnica)
Trigonometry,https://en.wikipedia.org/wiki/Trigonometry,en,Trigonometria
Trigonometry,https://en.wikipedia.org/wiki/Trigonometry,en,Trigonometria
Dot product,https://en.wikipedia.org/wiki/Dot_product,en,Prodotto scalare
Logarithm,https://en.wikipedia.org/wiki/Logarithm,en,Logaritmo
Arithmetic,https://en.wikipedia.org/wiki/Arithmetic,en,Aritmetica
Arithmetic,https://en.wikipedia.org/wiki/Arithmetic,en,Aritmetica
Dispersion (optics),https://en.wikipedia.org/wiki/Dispersion_(optics),en,Dispersione ottica
Mechanical energy,https://en.wikipedia.org/wiki/Mechanical_energy,en,Energia meccanica
Frequency,https://en.wikipedia.org/wiki/Frequency,en,Frequenza
Electric charge,https://en.wikipedia.org/wiki/Electric_charge,en,Carica elettrica
Electric charge,https://en.wikipedia.org/wiki/Electric_charge,en,Carica elettrica
Piecewise,https://en.wikipedia.org/wiki/Piecewise,en,Funzione definita a tratti
Quadrant (plane geometry),https://en.wikipedia.org/wiki/Quadrant_(plane_geometry),en,Quadrante (geometria analitica)
Cubic function,https://en.wikipedia.org/wiki/Cubic_function,en,Funzione cubica
Function (mathematics),https://en.wikipedia.org/wiki/Function_(mathematics),en,Funzione (matematica)
Force,https://en.wikipedia.org/wiki/Force,en,Forza
Force,https://en.wikipedia.org/wiki/Force,en,Forza
Sound,https://en.wikipedia.org/wiki/Sound,en,Suono
Sound,https://en.wikipedia.org/wiki/Sound,en,Suono
Torque,https://en.wikipedia.org/wiki/Torque,en,Momento meccanico
Eccentricity (mathematics),https://en.wikipedia.org/wiki/Eccentricity_(mathematics),en,Eccentricità (matematica)
Conic section,https://en.wikipedia.org/wiki/Conic_section,en,Sezione conica
Even and odd functions,https://en.wikipedia.org/wiki/Even_and_odd_functions,en,Funzioni pari e dispari
Temperature,https://en.wikipedia.org/wiki/Temperature,en,Temperatura
Infinity,https://en.wikipedia.org/wiki/Infinity,en,Infinito (matematica)
Mathematics,https://en.wikipedia.org/wiki/Mathematics,en,Matematica
Mathematics,https://en.wikipedia.org/wiki/Mathematics,en,Matematica
Mathematics,https://en.wikipedia.org/wiki/Mathematics,en,Matematica
Area,https://en.wikipedia.org/wiki/Area,en,Area
Displacement (geometry),https://en.wikipedia.org/wiki/Displacement_(geometry),en,Spostamento (cinematica)
Domain of a function,https://en.wikipedia.org/wiki/Domain_of_a_function,en,Dominio e codominio
Frame of reference,https://en.wikipedia.org/wiki/Frame_of_reference,en,Sistema di riferimento
Collision,https://en.wikipedia.org/wiki/Collision,en,Urto
Electric current,https://en.wikipedia.org/wiki/Electric_current,en,Corrente elettrica
