name,article,lang,lemma
Angolo retto,https://it.wikipedia.org/wiki/Angolo_retto,it,Angolo retto
Fisica,https://it.wikipedia.org/wiki/Fisica,it,Fisica
Fisica,https://it.wikipedia.org/wiki/Fisica,it,Fisica
Fisica,https://it.wikipedia.org/wiki/Fisica,it,Fisica
Colore,https://it.wikipedia.org/wiki/Colore,it,Colore
Colore,https://it.wikipedia.org/wiki/Colore,it,Colore
Quadrato,https://it.wikipedia.org/wiki/Quadrato,it,Quadrato
Accelerazione,https://it.wikipedia.org/wiki/Accelerazione,it,Accelerazione
Sistema di coordinate,https://it.wikipedia.org/wiki/Sistema_di_coordinate,it,Sistema di coordinate
Energia,https://it.wikipedia.org/wiki/Energia,it,Energia
Energia,https://it.wikipedia.org/wiki/Energia,it,Energia
Apprendimento automatico,https://it.wikipedia.org/wiki/Apprendimento_automatico,it,Apprendimento automatico
Geometria,https://it.wikipedia.org/wiki/Geometria,it,Geometria
Geometria,https://it.wikipedia.org/wiki/Geometria,it,Geometria
Costante di gravitazione universale,https://it.wikipedia.org/wiki/Costante_di_gravitazione_universale,it,Costante di gravitazione universale
Magnete,https://it.wikipedia.org/wiki/Magnete,it,Magnete
Sfera,https://it.wikipedia.org/wiki/Sfera,it,Sfera
Sfera,https://it.wikipedia.org/wiki/Sfera,it,Sfera
Rombo (geometria),https://it.wikipedia.org/wiki/Rombo_(geometria),it,Rombo (geometria)
Riflessione (geometria),https://it.wikipedia.org/wiki/Riflessione_(geometria),it,Riflessione (geometria)
Auto similarità,https://it.wikipedia.org/wiki/Auto_similarit%C3%A0,it,Auto similarità
Coefficiente angolare,https://it.wikipedia.org/wiki/Coefficiente_angolare,it,Coefficiente angolare
Bussola,https://it.wikipedia.org/wiki/Bussola,it,Bussola
Bussola,https://it.wikipedia.org/wiki/Bussola,it,Bussola
Differenza di potenziale elettrico,https://it.wikipedia.org/wiki/Differenza_di_potenziale_elettrico,it,Differenza di potenziale elettrico
Vertice (geometria),https://it.wikipedia.org/wiki/Vertice_(geometria),it,Vertice (geometria)
Cilindro (geometria),https://it.wikipedia.org/wiki/Cilindro_(geometria),it,Cilindro (geometria)
Quadrilatero,https://it.wikipedia.org/wiki/Quadrilatero,it,Quadrilatero
Triangolo,https://it.wikipedia.org/wiki/Triangolo,it,Triangolo
Triangolo,https://it.wikipedia.org/wiki/Triangolo,it,Triangolo
Triangolo equilatero,https://it.wikipedia.org/wiki/Triangolo_equilatero,it,Triangolo equilatero
Piramide (geometria),https://it.wikipedia.org/wiki/Piramide_(geometria),it,Piramide (geometria)
Frattura (meccanica),https://it.wikipedia.org/wiki/Frattura_(meccanica),it,Frattura (meccanica)
F1 score,https://it.wikipedia.org/wiki/F1_score,it,F1 score
Circuiti in serie e in parallelo,https://it.wikipedia.org/wiki/Circuiti_in_serie_e_in_parallelo,it,Circuiti in serie e in parallelo
Angolo,https://it.wikipedia.org/wiki/Angolo,it,Angolo
