name	article
Accelerazione	https://it.wikipedia.org/wiki/Accelerazione
Accelerazione di gravità	https://it.wikipedia.org/wiki/Accelerazione_di_gravit%C3%A0
Addizione	https://it.wikipedia.org/wiki/Addizione
Albero di decisione	https://it.wikipedia.org/wiki/Albero_di_decisione
Algebra	https://it.wikipedia.org/wiki/Algebra
Algoritmo apriori	https://it.wikipedia.org/wiki/Algoritmo_apriori
Algoritmo genetico	https://it.wikipedia.org/wiki/Algoritmo_genetico
Altezza (acustica)	https://it.wikipedia.org/wiki/Altezza_(acustica)
Amperometro	https://it.wikipedia.org/wiki/Amperometro
Ampiezza	https://it.wikipedia.org/wiki/Ampiezza
Analisi dei dati	https://it.wikipedia.org/wiki/Analisi_dei_dati
Analisi della regressione	https://it.wikipedia.org/wiki/Analisi_della_regressione
Analisi delle componenti principali	https://it.wikipedia.org/wiki/Analisi_delle_componenti_principali
Analisi matematica	https://it.wikipedia.org/wiki/Analisi_matematica
Angolo	https://it.wikipedia.org/wiki/Angolo
Angolo retto	https://it.wikipedia.org/wiki/Angolo_retto
Apprendimento automatico	https://it.wikipedia.org/wiki/Apprendimento_automatico
Apprendimento ensemble	https://it.wikipedia.org/wiki/Apprendimento_ensemble
Aquilone (geometria)	https://it.wikipedia.org/wiki/Aquilone_(geometria)
Arco (geometria)	https://it.wikipedia.org/wiki/Arco_(geometria)
Area	https://it.wikipedia.org/wiki/Area
Aritmetica	https://it.wikipedia.org/wiki/Aritmetica
Asintoto	https://it.wikipedia.org/wiki/Asintoto
Asse di un segmento	https://it.wikipedia.org/wiki/Asse_di_un_segmento
Associatività	https://it.wikipedia.org/wiki/Associativit%C3%A0
Attrito	https://it.wikipedia.org/wiki/Attrito
Auto similarità	https://it.wikipedia.org/wiki/Auto_similarit%C3%A0
Bagging	https://it.wikipedia.org/wiki/Bagging
Base (algebra lineare)	https://it.wikipedia.org/wiki/Base_(algebra_lineare)
Base di conoscenza	https://it.wikipedia.org/wiki/Base_di_conoscenza
Bidimensionalità	https://it.wikipedia.org/wiki/Bidimensionalit%C3%A0
Boom sonico	https://it.wikipedia.org/wiki/Boom_sonico
